Genre,Count
wilderness survival,27
manga,27
neighbors,27
war and military,27
sleep,27
popularity,27
nyt:series_books=2007-03-10,27
cousins,27
kings and rulers,27
snow,27
grade:min:5,27
roman pour jeunes adultes,27
language arts,27
disguise,26
winter,26
british,26
poséidon (divinité grecque),26
etc.n.,26
newbery medal books,26
contemporary,26
liberty,26
hadès (divinité grecque),26
handbooks,26
rulers,26
sound,26
queens,26
music,26
water,26
readers (elementary),26
frontier and pioneer life,26
baseball,26
terrorism,26
zoo animals,26
zeus (divinité grecque),26
boys and men,26
imaginary places,26
overdrive,26
manuals,25
knights and knighthood,25
money,25
theater,25
moody,25
colors,25
drama (dramatic works by one author),25
farms,25
judy (fictitious character),25
poor families,25
viajes a través del tiempo,25
study and teaching (elementary),25
texas,25
boarding schools,25
first day of school,25
bandes dessinées,25
egypt,25
alphabet,25
high school students,25
children: grades 3-4,25
adolescentes,25
harry (fictitious character),24
moneymaking projects,24
roman daventures,24
family problems,24
television,24
pokemon (fictitious characters),24
er tong wen xue,24
self-esteem,24
human body,24
huguenots,24
20th century,24
people and places,24
persecution,24
social control,24
judy moody (fictitious character),24
gardens,24
grade:max:6,24
trees,24
age:max:12,24
french language,24
deserts,24
anglais (langue),23
guerre mondiale,23
hogwarts school of witchcraft and wizardry (imaginary organization),23
juvenile delinquency,23
trésors,23
divorce,23
city and town life,23
antiquities,23
biography and autobiography,23
holocaust,23
future,23
hamsters,23
robbers and outlaws,23
world war (1939-1945) fast (ocolc)fst01180924,23
storytelling,23
grandfathers,23
authorship,23
china,23
rats,23
toads,23
potter,23
haunted houses,23
german language materials,23
harry potter (fictitious character),23
diseases,22
familles,22
rescues,22
stealing,22
flucht,22
control (psychology),22
infants,22
cooking,22
womens rights,22
japan,22
habits and behavior,22
museums,22
night,22
magos,22
hogwarts school of witchcraft and wizardry (imaginary place),22
public speaking,22
humour,22
ron weasley (fictitious character),22
marriage,22
questions and answers,22
self-acceptance,22
questions,22
jewish (1939-1945),22
hermione granger (fictitious character),22
psychological aspects,22
social prediction,21
zoology,21
english fantasy literature,21
mort,21
seashore,21
ouvrages illustres,21
snakes,21
sci fi,21
braille language materials,21
bats,21
heroes and heroines,21
dating (social customs),21
translations into marathi,21
litterature de jeunesse anglaise,21
witchcraft,21
relaciones humanas,21
painting,21
in library,21
italy,21
dictionaries,21
beginning reader,21
barn- och ungdomslitteratur,21
huérfanos,21
sans-abri,21
self-actualization (psychology),21
oratory,21
business presentations,21
philosophy,21
theft,21
personal narratives,21
grade:max:undefined,21
blacks,21
treasure-trove,21
patients,21
pokémon (fictitious characters),21
etc,21
casas en árboles,21
sharks,21
students,20
ranas,20
frogs and toads,20
demonology,20
tiger,20
media tie-in,20
inventors,20
materiales en español,20
plants,20
grenouilles,20
newbery award winner 1999,20
judicial error,20
homeless person,20
erlo sung,20
third-grade girls,20
personas sin hogar,20
virginia,20
age:max:undefined,20
überleben,20
sea stories,20
u berleben,20
familie,20
lesen,20
punishment,20
straflager,20
frères et soeurs,20
fluch,20
children: babies toddlers,20
ratones,20
collectionid:bannedbooks,20
fame,20
police procedural,20
germany,20
juevnile literature,20
italian,20
the big red dog (fictitious character),20
clifford,20
life on other planets,20
jealousy in girls,20
lexile:660,20
ahnen,20
erlösung,20
childrens books/baby-preschool,20
delincuencia juvenil,20
environmental protection,20
art de parler en public,20
délinquance juvénile,20
cerdos,20
miniature books,20
juvenile corrections,20
princes,20
creative activities and seat work,20
ficcion juvenil,20
